Designator,Mid X,Mid Y,Rotation,Layer
C6,130.35,-80.6,270.0,top
D1,136.4,-81.25,0.0,top
J1,147.9,-137.6,0.0,top
SW10,139.9,-111.05,0.0,top
SW11,155.9,-111.05,0.0,top
SW12,139.9,-123.05,0.0,top
SW13,155.9,-123.05,0.0,top
SW3,135.75,-69.1,0.0,top
SW4,160.0,-69.1,0.0,top
SW5,147.9,-57.1,0.0,top
SW6,139.9,-95.5,0.0,top
SW7,147.9,-81.2,0.0,top
SW8,155.9,-95.5,0.0,top
SW9,147.9,-69.1,0.0,top
